# X(mm) Y(mm) Z(mm)
149.283 479.479 95.289
150.931 661.957 95.604
150.471 482.432 95.188
152.284 551.283 95.534
153.163 552.740 95.509
172.702 509.776 95.434
174.734 601.010 94.989
177.662 494.009 94.934
178.181 488.251 94.929
178.404 621.511 95.021
180.201 619.966 94.941
180.408 491.768 95.036
180.650 488.999 94.913
180.650 488.999 94.913
181.470 482.772 95.222
181.463 622.196 94.922
181.121 673.162 94.728
181.121 673.162 94.728
182.615 480.379 95.037
182.824 616.537 94.952
183.093 488.129 94.902
183.538 482.121 95.102
183.538 482.121 95.102
183.943 617.411 94.976
185.306 496.369 94.712
186.683 622.339 94.880
187.626 599.333 94.811
188.939 491.443 94.863
189.061 503.592 94.850
189.244 615.866 94.906
189.244 615.866 94.906
189.421 489.094 94.781
189.624 619.044 94.764
190.174 501.100 94.992
190.787 504.310 94.842
191.079 502.250 94.863
191.084 482.310 94.753
191.871 559.910 95.138
191.801 550.259 94.950
191.767 495.640 94.895
191.964 605.777 94.864
193.217 489.708 94.923
193.217 489.708 94.923
193.274 612.728 94.910
193.042 562.905 94.793
193.214 567.956 94.851
193.632 504.601 94.868
194.124 661.506 94.973
194.270 603.053 94.886
194.927 481.959 95.166
194.927 481.959 95.166
195.014 492.059 94.905
195.014 492.059 94.905
195.196 662.923 94.978
195.433 582.852 94.884
195.433 582.852 94.884
196.102 609.547 94.847
196.556 615.337 94.882
196.587 493.256 94.862
196.806 489.355 94.848
196.806 489.355 94.848
197.796 502.559 94.883
198.158 495.443 94.898
198.543 662.945 94.919
198.714 619.169 94.885
187.445 469.649 89.467
187.445 469.649 89.467
198.793 622.150 94.851
199.181 611.816 94.904
199.260 598.941 94.860
200.085 630.006 95.186
199.690 608.067 94.833
199.738 487.276 94.850
199.738 487.276 94.850
199.948 584.155 94.942
188.514 475.898 89.504
199.829 493.423 94.870
199.829 493.423 94.870
199.783 500.838 94.838
200.199 633.440 95.036
200.054 662.740 94.902
200.196 480.391 94.943
200.922 635.417 95.103
201.054 612.416 94.823
200.915 615.428 94.737
201.010 565.042 94.762
201.382 488.407 94.867
202.078 478.961 94.590
203.973 638.741 94.948
204.227 628.559 94.813
204.443 502.388 94.860
204.443 502.388 94.860
204.250 573.165 94.773
204.250 573.165 94.773
205.571 633.833 94.955
205.808 631.158 95.036
205.646 485.480 94.950
